-6.000e+02 5.000e+00 "(-600.0, -595.0]" 22.300138831391894
-5.950e+02 9.000e+00 "(-595.0, -590.0]" 22.3000849009134
-5.900e+02 1.100e+01 "(-590.0, -585.0]" 22.300096873479156
-5.850e+02 9.000e+00 "(-585.0, -580.0]" 22.299955832507592
-5.800e+02 1.000e+01 "(-580.0, -575.0]" 22.300039486812018
-5.750e+02 1.500e+01 "(-575.0, -570.0]" 22.299918401724515
-5.700e+02 7.000e+00 "(-570.0, -565.0]" 22.299986492047076
-5.650e+02 1.000e+01 "(-565.0, -560.0]" 22.29970833314613
-5.600e+02 1.200e+01 "(-560.0, -555.0]" 22.30001897793691
-5.550e+02 2.100e+01 "(-555.0, -550.0]" 22.299967103677016
-5.500e+02 2.000e+01 "(-550.0, -545.0]" 22.299930338132164
-5.450e+02 1.400e+01 "(-545.0, -540.0]" 22.299956893759507
-5.400e+02 1.400e+01 "(-540.0, -535.0]" 22.299897951041476
-5.350e+02 1.600e+01 "(-535.0, -530.0]" 22.300014102229245
-5.300e+02 2.000e+01 "(-530.0, -525.0]" 22.2999825992951
-5.250e+02 2.500e+01 "(-525.0, -520.0]" 22.299969133655505
-5.200e+02 1.400e+01 "(-520.0, -515.0]" 22.30003548295186
-5.150e+02 2.600e+01 "(-515.0, -510.0]" 22.29995034390517
-5.100e+02 3.800e+01 "(-510.0, -505.0]" 22.300046102525176
-5.050e+02 2.100e+01 "(-505.0, -500.0]" 22.300060543500756
-5.000e+02 3.100e+01 "(-500.0, -495.0]" 22.2999859080902
-4.950e+02 2.400e+01 "(-495.0, -490.0]" 22.300003632070585
-4.900e+02 3.000e+01 "(-490.0, -485.0]" 22.300041411527626
-4.850e+02 3.000e+01 "(-485.0, -480.0]" 22.300148608771757
-4.800e+02 4.300e+01 "(-480.0, -475.0]" 22.30001250230644
-4.750e+02 3.400e+01 "(-475.0, -470.0]" 22.30001991062514
-4.700e+02 3.000e+01 "(-470.0, -465.0]" 22.300013054551098
-4.650e+02 4.300e+01 "(-465.0, -460.0]" 22.299948433042246
-4.600e+02 3.900e+01 "(-460.0, -455.0]" 22.30000403419138
-4.550e+02 5.700e+01 "(-455.0, -450.0]" 22.299975039466414
-4.500e+02 4.700e+01 "(-450.0, -445.0]" 22.29998918640537
-4.450e+02 5.600e+01 "(-445.0, -440.0]" 22.300066232796024
-4.400e+02 5.300e+01 "(-440.0, -435.0]" 22.30006242957383
-4.350e+02 7.100e+01 "(-435.0, -430.0]" 22.299996868423552
-4.300e+02 6.700e+01 "(-430.0, -425.0]" 22.300060764399554
-4.250e+02 7.400e+01 "(-425.0, -420.0]" 22.299964541832228
-4.200e+02 8.900e+01 "(-420.0, -415.0]" 22.299970885492034
-4.150e+02 1.070e+02 "(-415.0, -410.0]" 22.29998112029669
-4.100e+02 1.130e+02 "(-410.0, -405.0]" 22.299940506528852
-4.050e+02 1.190e+02 "(-405.0, -400.0]" 22.299990613626253
-4.000e+02 1.730e+02 "(-400.0, -395.0]" 22.299991936062728
-3.950e+02 1.780e+02 "(-395.0, -390.0]" 22.29999460367255
-3.900e+02 1.810e+02 "(-390.0, -385.0]" 22.30001417811508
-3.850e+02 2.240e+02 "(-385.0, -380.0]" 22.300023248440557
-3.800e+02 2.560e+02 "(-380.0, -375.0]" 22.299989080639143
-3.750e+02 3.170e+02 "(-375.0, -370.0]" 22.299975431080327
-3.700e+02 3.740e+02 "(-370.0, -365.0]" 22.300005714034945
-3.650e+02 4.290e+02 "(-365.0, -360.0]" 22.300000978559243
-3.600e+02 5.060e+02 "(-360.0, -355.0]" 22.300005817946957
-3.550e+02 5.610e+02 "(-355.0, -350.0]" 22.300001641711233
-3.500e+02 6.570e+02 "(-350.0, -345.0]" 22.300007714826855
-3.450e+02 8.050e+02 "(-345.0, -340.0]" 22.299988409863197
