# bin_start  bin_end  count  Ro_mean
-3.29990e+02 -3.24913e+02 2.88000e+02 3.00000e+01
-3.24913e+02 -3.19837e+02 3.58000e+02 3.00000e+01
-3.19837e+02 -3.14760e+02 4.25000e+02 3.00000e+01
-3.14760e+02 -3.09683e+02 4.11000e+02 3.00000e+01
-3.09683e+02 -3.04607e+02 4.91000e+02 3.00000e+01
-3.04607e+02 -2.99530e+02 6.51000e+02 3.00400e+01
-2.99530e+02 -2.94453e+02 2.43200e+03 3.19744e+01
-2.94453e+02 -2.89376e+02 2.94600e+03 3.52340e+01
-2.89376e+02 -2.84300e+02 3.48500e+03 3.84686e+01
-2.84300e+02 -2.79223e+02 4.22800e+03 4.17155e+01
-2.79223e+02 -2.74146e+02 4.96800e+03 4.49651e+01
-2.74146e+02 -2.69070e+02 5.85100e+03 4.82148e+01
-2.69070e+02 -2.63993e+02 6.48000e+03 5.14389e+01
-2.63993e+02 -2.58916e+02 7.41000e+03 5.47110e+01
-2.58916e+02 -2.53840e+02 8.24000e+03 5.79458e+01
-2.53840e+02 -2.48763e+02 7.82500e+03 6.09865e+01
-2.48763e+02 -2.43686e+02 5.68600e+03 6.20000e+01
-2.43686e+02 -2.38610e+02 6.31800e+03 6.20000e+01
-2.38610e+02 -2.33533e+02 6.73600e+03 6.20000e+01
-2.33533e+02 -2.28456e+02 7.42200e+03 6.20000e+01
-2.28456e+02 -2.23379e+02 8.01500e+03 6.20000e+01
-2.23379e+02 -2.18303e+02 8.66300e+03 6.20000e+01
-2.18303e+02 -2.13226e+02 9.20000e+03 6.20000e+01
-2.13226e+02 -2.08149e+02 9.89700e+03 6.20000e+01
-2.08149e+02 -2.03073e+02 1.04040e+04 6.20000e+01
-2.03073e+02 -1.97996e+02 1.07490e+04 6.20000e+01
-1.97996e+02 -1.92919e+02 1.12670e+04 6.20000e+01
-1.92919e+02 -1.87843e+02 1.17680e+04 6.20000e+01
-1.87843e+02 -1.82766e+02 1.19690e+04 6.20000e+01
-1.82766e+02 -1.77689e+02 1.20750e+04 6.20000e+01
-1.77689e+02 -1.72613e+02 1.26250e+04 6.20000e+01
-1.72613e+02 -1.67536e+02 1.28630e+04 6.20000e+01
-1.67536e+02 -1.62459e+02 1.33280e+04 6.20000e+01
-1.62459e+02 -1.57382e+02 1.32730e+04 6.20000e+01
-1.57382e+02 -1.52306e+02 1.33790e+04 6.20000e+01
-1.52306e+02 -1.47229e+02 1.33770e+04 6.20000e+01
-1.47229e+02 -1.42152e+02 1.36180e+04 6.20000e+01
-1.42152e+02 -1.37076e+02 1.37030e+04 6.20000e+01
-1.37076e+02 -1.31999e+02 1.37480e+04 6.20000e+01
-1.31999e+02 -1.26922e+02 1.37790e+04 6.20000e+01
-1.26922e+02 -1.21846e+02 1.39680e+04 6.20000e+01
-1.21846e+02 -1.16769e+02 1.42490e+04 6.20000e+01
-1.16769e+02 -1.11692e+02 1.39070e+04 6.20000e+01
-1.11692e+02 -1.06616e+02 1.42890e+04 6.20000e+01
-1.06616e+02 -1.01539e+02 1.43550e+04 6.20000e+01
-1.01539e+02 -9.64622e+01 1.43260e+04 6.20000e+01
-9.64622e+01 -9.13855e+01 1.43970e+04 6.20000e+01
-9.13855e+01 -8.63088e+01 1.42570e+04 6.20000e+01
-8.63088e+01 -8.12321e+01 1.43070e+04 6.20000e+01
-8.12321e+01 -7.61554e+01 1.43250e+04 6.20000e+01
-7.61554e+01 -7.10787e+01 1.43690e+04 6.20000e+01
-7.10787e+01 -6.60020e+01 1.45100e+04 6.20000e+01
-6.60020e+01 -6.09253e+01 1.42200e+04 6.20000e+01
-6.09253e+01 -5.58486e+01 1.45440e+04 6.20000e+01
-5.58486e+01 -5.07719e+01 1.43970e+04 6.20000e+01
-5.07719e+01 -4.56952e+01 1.45910e+04 6.20000e+01
-4.56952e+01 -4.06185e+01 1.43490e+04 6.20000e+01
-4.06185e+01 -3.55418e+01 1.43530e+04 6.20000e+01
-3.55418e+01 -3.04652e+01 1.42490e+04 6.20000e+01
-3.04652e+01 -2.53885e+01 1.42400e+04 6.20000e+01
-2.53885e+01 -2.03118e+01 1.42900e+04 6.20000e+01
-2.03118e+01 -1.52351e+01 1.42570e+04 6.20000e+01
-1.52351e+01 -1.01584e+01 1.41980e+04 6.20000e+01
-1.01584e+01 -5.08169e+00 1.41780e+04 6.20000e+01
-5.08169e+00 -5.00000e-03 1.39920e+04 6.20000e+01
-5.00000e-03 5.07169e+00 1.39470e+04 6.20000e+01
5.07169e+00 1.01484e+01 1.37450e+04 6.20000e+01
1.01484e+01 1.52251e+01 1.39020e+04 6.20000e+01
1.52251e+01 2.03018e+01 1.36040e+04 6.20000e+01
2.03018e+01 2.53785e+01 1.36390e+04 6.20000e+01
2.53785e+01 3.04552e+01 1.32090e+04 6.20000e+01
3.04552e+01 3.55318e+01 1.30030e+04 6.20000e+01
3.55318e+01 4.06085e+01 1.29070e+04 6.20000e+01
4.06085e+01 4.56852e+01 1.25430e+04 6.20000e+01
4.56852e+01 5.07619e+01 1.24970e+04 6.20000e+01
5.07619e+01 5.58386e+01 1.22010e+04 6.20000e+01
5.58386e+01 6.09153e+01 1.17000e+04 6.20000e+01
6.09153e+01 6.59920e+01 1.14700e+04 6.20000e+01
6.59920e+01 7.10687e+01 1.09300e+04 6.20000e+01
7.10687e+01 7.61454e+01 1.06650e+04 6.20000e+01
7.61454e+01 8.12221e+01 1.00750e+04 6.20000e+01
8.12221e+01 8.62988e+01 9.54300e+03 6.20000e+01
8.62988e+01 9.13755e+01 9.02200e+03 6.20000e+01
9.13755e+01 9.64522e+01 8.33400e+03 6.20000e+01
9.64522e+01 1.01529e+02 7.61600e+03 6.20000e+01
1.01529e+02 1.06606e+02 7.23900e+03 6.20000e+01
1.06606e+02 1.11682e+02 6.29700e+03 6.20000e+01
1.11682e+02 1.16759e+02 5.80400e+03 6.20000e+01
1.16759e+02 1.21836e+02 5.43600e+03 6.20000e+01
1.21836e+02 1.26912e+02 4.83000e+03 6.20000e+01
1.26912e+02 1.31989e+02 4.29500e+03 6.20000e+01
1.31989e+02 1.37066e+02 3.84200e+03 6.20000e+01
1.37066e+02 1.42142e+02 3.30900e+03 6.20000e+01
1.42142e+02 1.47219e+02 3.10300e+03 6.20000e+01
1.47219e+02 1.52296e+02 2.79500e+03 6.20000e+01
1.52296e+02 1.57372e+02 2.54600e+03 6.20000e+01
1.57372e+02 1.62449e+02 2.18500e+03 6.20000e+01
1.62449e+02 1.67526e+02 2.04300e+03 6.20000e+01
1.67526e+02 1.72603e+02 1.77200e+03 6.20000e+01
1.72603e+02 1.77679e+02 1.65700e+03 6.20000e+01
1.77679e+02 1.82756e+02 1.49000e+03 6.20000e+01
1.82756e+02 1.87833e+02 1.39300e+03 6.20000e+01
1.87833e+02 1.92909e+02 1.26800e+03 6.20000e+01
1.92909e+02 1.97986e+02 1.17600e+03 6.20000e+01
1.97986e+02 2.03063e+02 1.09500e+03 6.20000e+01
2.03063e+02 2.08139e+02 9.74000e+02 6.20000e+01
2.08139e+02 2.13216e+02 9.30000e+02 6.20000e+01
2.13216e+02 2.18293e+02 8.10000e+02 6.20000e+01
2.18293e+02 2.23369e+02 7.75000e+02 6.20000e+01
2.23369e+02 2.28446e+02 7.05000e+02 6.20000e+01
2.28446e+02 2.33523e+02 6.73000e+02 6.20000e+01
2.33523e+02 2.38600e+02 6.09000e+02 6.20000e+01
2.38600e+02 2.43676e+02 5.74000e+02 6.20000e+01
2.43676e+02 2.48753e+02 5.26000e+02 6.20000e+01
2.48753e+02 2.53830e+02 1.42300e+03 6.09011e+01
2.53830e+02 2.58906e+02 1.57600e+03 5.79455e+01
2.58906e+02 2.63983e+02 1.38000e+03 5.47235e+01
2.63983e+02 2.69060e+02 1.19300e+03 5.14251e+01
2.69060e+02 2.74136e+02 1.13300e+03 4.82542e+01
2.74136e+02 2.79213e+02 9.76000e+02 4.50618e+01
2.79213e+02 2.84290e+02 8.83000e+02 4.17242e+01
2.84290e+02 2.89366e+02 7.65000e+02 3.84043e+01
2.89366e+02 2.94443e+02 6.14000e+02 3.52671e+01
2.94443e+02 2.99520e+02 5.56000e+02 3.19414e+01
2.99520e+02 3.04597e+02 1.10000e+02 3.00744e+01
3.04597e+02 3.09673e+02 5.60000e+01 3.00000e+01
3.09673e+02 3.14750e+02 7.60000e+01 3.00000e+01
3.14750e+02 3.19827e+02 5.70000e+01 3.00000e+01
3.19827e+02 3.24903e+02 5.90000e+01 3.00000e+01
3.24903e+02 3.29980e+02 6.70000e+01 3.00000e+01
